Entry	Entry name	Protein names	Status	Gene names  (primary )
U5TWL6	U5TWL6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TX83	U5TX83_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZQ8	U5TZQ8_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B4Z9I4	A0A1B4Z9I4_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1S3WTM3	A0A1S3WTM3_ERIEU	brain-derived neurotrophic factor	unreviewed	BDNF
C7AIC8	C7AIC8_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U5W1	U5U5W1_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIC2	C7AIC2_TUPGL	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIB6	C7AIB6_TUPBE	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
V6BQD1	V6BQD1_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
U5TWF5	U5TWF5_CROFU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B3LFD0	A0A1B3LFD0_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
V6BPZ4	V6BPZ4_MOGWO	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
D2JZF9	D2JZF9_PHOVI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B4Z9I7	A0A1B4Z9I7_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2P9	A0A1J0N2P9_NEUGI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZI7	U5TZI7_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0F7GFP4	A0A0F7GFP4_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZF5	D2JZF5_ERIBA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U6G3	U5U6G3_UROSO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG3	D2JZG3_OMMRO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B3LF68	A0A1B3LF68_CROEL	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG6	D2JZG6_LEPWE	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0F7GFP7	A0A0F7GFP7_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0F7CUG6	A0A0F7CUG6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
S4S7M4	S4S7M4_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0F7GFX6	A0A0F7GFX6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U8U2	U5U8U2_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWC4	U5TWC4_CROBR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZT6	U5TZT6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZL8	U5TZL8_CROLP	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U6F2	U5U6F2_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWG0	U5TWG0_CRORK	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U8S3	U5U8S3_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZS8	U5TZS8_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TX16	U5TX16_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWZ6	U5TWZ6_CROBE	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U9A2	U5U9A2_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0F7GHB9	A0A0F7GHB9_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG4	D2JZG4_HYDLE	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZW9	U5TZW9_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AID1	C7AID1_TUPTA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
O02795	O02795_ORNAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
V6BQ32	V6BQ32_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
D2JZG8	D2JZG8_NEOSC	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U5W7	U5U5W7_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2L7	A0A1J0N2L7_SCAFU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B1ACE1	B1ACE1_BALBO	BDNF (Brain-derived neurotrophic factor-like protein) (Fragment)	unreviewed	BDNF
U5U980	U5U980_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U5U6	U5U5U6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZN8	U5TZN8_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIC0	C7AIC0_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B1ACE2	B1ACE2_BALED	BDNF (Brain-derived neurotrophic factor-like protein) (Fragment)	unreviewed	BDNF
A0A1J0N2S4	A0A1J0N2S4_SCATO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZF7	D2JZF7_HALGR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWM9	U5TWM9_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG5	D2JZG5_LOBCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWP3	U5TWP3_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
G1K2A0	G1K2A0_CANLF	Brain-derived neurotrophic factor	unreviewed	BDNF
D2JZF4	D2JZF4_CYSCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2T2	A0A1J0N2T2_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D6N0P6	D6N0P6_LOBCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFJ2	Q9BFJ2_MACMU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1D5QAT2	A0A1D5QAT2_MACMU	Brain-derived neurotrophic factor	unreviewed	BDNF
F7I8R7	F7I8R7_CALJA	Brain derived neurotrophic factor	unreviewed	BDNF
F6QDG9	F6QDG9_CALJA	Brain derived neurotrophic factor	unreviewed	BDNF
F7D243	F7D243_CALJA	Brain derived neurotrophic factor	unreviewed	BDNF
D7PR94	D7PR94_MIRAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1D5RG19	A0A1D5RG19_MACMU	Brain-derived neurotrophic factor	unreviewed	BDNF
A0A1D5RA32	A0A1D5RA32_MACMU	Brain-derived neurotrophic factor	unreviewed	BDNF
W8R6N3	W8R6N3_CARPS	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
