c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	disease	Neoplasms	1	C0006131	ALL
C0030567	Parkinson Disease	disease	Neoplasms ; Skin and Connective Tissue Diseases	1	C0006144	ALL
C0030567	Parkinson Disease	disease	Cardiovascular Diseases ; Pathological Conditions, Signs and Symptoms	1	C0006384	ALL
C0030567	Parkinson Disease	disease	Occupational Diseases ; Respiratory Tract Diseases	1	C0006542	ALL
C0030567	Parkinson Disease	group	Nutritional and Metabolic Diseases	1	C0006705	ALL
C0030567	Parkinson Disease	disease	null	1	C0006848	ALL
C0030567	Parkinson Disease	disease	null	1	C0006897	ALL
C0030567	Parkinson Disease	group	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Nutritional and Metabolic Diseases	1	C0007001	ALL
C0030567	Parkinson Disease	disease	Neoplasms	1	C0007135	ALL
C0030567	Parkinson Disease	disease	Neoplasms	1	C0007279	ALL
C0030567	Parkinson Disease	disease	Bacterial Infections and Mycoses ; Hemic and Lymphatic Diseases	1	C0007361	ALL
C0030567	Parkinson Disease	group	Digestive System Diseases ; Neoplasms	1	C0007528	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Nervous System Diseases	1	C0007761	ALL
C0030567	Parkinson Disease	disease	Cardiovascular Diseases ; Nervous System Diseases	1	C0007781	ALL
C0030567	Parkinson Disease	disease	Immune System Diseases ; Nervous System Diseases	1	C0007795	ALL
C0030567	Parkinson Disease	phenotype	Nervous System Diseases ; Pathological Conditions, Signs and Symptoms	1	C0007859	ALL
C0030567	Parkinson Disease	disease	Female Urogenital Diseases and Pregnancy Complications	1	C0007860	ALL
C0030567	Parkinson Disease	disease	Stomatognathic Diseases	1	C0007971	ALL
C0030567	Parkinson Disease	group	Mental Disorders	1	C0008074	ALL
C0030567	Parkinson Disease	disease	null	1	C0008298	ALL
C0030567	Parkinson Disease	disease	Neoplasms	1	C0008309	ALL
C0030567	Parkinson Disease	group	null	1	C0008449	ALL
C0030567	Parkinson Disease	disease	Female Urogenital Diseases and Pregnancy Complications ; Neoplasms	1	C0008493	ALL
C0030567	Parkinson Disease	disease	null	1	C0008690	ALL
C0030567	Parkinson Disease	disease	null	1	C0008707	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases	1	C0008732	ALL
C0030567	Parkinson Disease	phenotype	Mental Disorders	1	C0008909	ALL
C0030567	Parkinson Disease	disease	Musculoskeletal Diseases	1	C0009080	ALL
C0030567	Parkinson Disease	disease	null	1	C0009084	ALL
C0030567	Parkinson Disease	disease	null	1	C0009176	ALL
